events,wiki_id
[],23890098
"['name', 'katniss', 'display', 'attention', 'besiegers', 'body', 'district', 'advice', 'reap', 'sister', 'place']",31186339
['protection'],20663735
"['husband', 'husband', 'bet', 'job', 'employer']",2231378
"['account', 'attorneys', 'jumpsuit']",595909
"['home', 'husband']",5272176
"['school', 'age', 'father', 'teacher', 'hand', 'underwater', 'mother', 'mother', 'hair', 'mother', 'lawyer', 'daughter', 'spirit', 'body', 'father', 'mother', 'father', 'mother', 'spirit', 'stuff', 'change', 'body', 'hair']",1952976
"['year', 'neighborhood', 'walk', 'mother', 'faith', 'students', 'mugger']",24225279
['job'],2462689
[],20532852
"['father', 'home', 'friend', 'father', 'ex', 'sister', 'father', 'ex', 'heart', 'father', 'depart', 'father', 'brother', 'girlfriend', 'word', 'friend', 'friend']",15401493
[],18188932
[],2940516
"['father', 'beau', 'father', 'love', 'body']",1335380
[],1480747
"['reservations', 'husband', 'fear', 'marriage', 'life']",24448645
[],15072401
"['band', 'member', 'bed', 'prom']",4018288
"['apartment', 'tail']",4596602
[],15224586
[],15585766
[],1760737
[],29062594
[],29326153
['family'],9252321
"['house', 'grandparents', 'marriage', 'grandfather', 'life', 'gift', 'money', 'hardships']",8388648
"['way', 'secret', 'way', 'behaviour', 'story', 'reputation', 'relative', 'gang', 'gang', 'men', 'activities', 'reformation', 'escape', 'gang', 'boot', 'party', 'brother', 'operation', 'name', 'baby', 'cry', 'son', 'operation']",10644072
[],13455076
['mate'],33269085
"['star', 'aunt', 'fortune', 'father', 'feelings', 'attitudes']",2254491
"['plan', 'betrayal']",447194
[],24165951
"['luck', 'impediment']",18549958
"['husband', 'reunion', 'devastation', 'children', 'son', 'child']",12978934
"['shoe', 'dress', 'photo', 'head', 'saw', 'body', 'body', 'neck']",8471210
['fiancé'],1925869
['lack'],10799612
[],3150865
[],20591333
[],28238240
['side'],5414895
[],17124781
"['mother', 'uncle', 'officer', 'stepan', 'driver', 'son', 'place', 'family', 'family', 'home', 'diary', 'baby', 'baby']",5425205
"['school', 'friends']",28207941
[],14330027
['wife'],4356664
[],19174305
[],33417831
['reluctance'],2408359
[],1838882
[],25755313
[],10016997
[],8153846
[],24486071
"['beer', 'cry', 'legs', 'legs', 'mdash', 'gigolo', 'office', 'memories', 'leg', 'leg', 'brand', 'legs']",4466226
[],27975390
[],6167400
"['dismay', 'hotel', 'guilt', 'uncle']",17711304
['bed'],18392317
"['friends', 'world', 'room', 'vanish', 'class', 'room', 'build']",15161056
"['wed', 'mother', 'presence', 'stagnation', 'dad', 'friend', 'father', 'grandparents', 'jack', 'life', 'jack', 'wed']",21500407
['case'],3459677
"['son', 'daughter', 'father', 'love', 'daughter']",34420857
[],18369853
"['son', 'attempt', 'boat', 'disbelief', 'friend', 'mother', 'speech', 'sculpture', 'mother', 'scar']",529276
"['brother', 'friend', 'husband', 'husband', 'husband', 'plan']",20631892
['father'],24577134
[],32556450
['father'],455089
"['boyfriend', 'age', 'world', 'virginity', 'teacher']",23266463
"['son', 'son', 'son']",35779717
[],23299845
"['fiancé', 'wed', 'closet', 'affair', 'brain']",226664
[],25113407
"['father', 'husband']",27403920
"['father', 'grandfather', 'dad', 'father']",2524925
"['boyfriend', 'plane', 'money', 'children', 'age', 'agreement', 'mdash']",657446
"['lover', 'father', 'family', 'father', 'father', 'lover', 'house', 'housekeeper', 'fight', 'sanity', 'nights', 'money', 'room', 'money', 'wealth', 'eye', 'plantation', 'relationship', 'arrival', 'head', 'death', 'husband', 'confession', 'husband']",1591973
[],12383757
[],4355919
[],32163620
[],11685571
[],4039635
[],17371197
"['tire', 'mother', 'husband', 'friends', 'boyfriend', 'attitude', 'family', 'lover', 'time', 'diary', 'friends', 'mother', 'mother', 'way', 'number', 'friends', 'husband', 'mother', 'warn', 'grade', 'house', 'ex', 'car']",1282593
['command'],7504323
"['challenge', 'friend', 'father']",7675415
[],3109393
"['handbag', 'husband', 'husband', 'intention', 'neighbour', 'neighbour', 'son', 'decision', 'mother', 'son', 'mother', 'husband', 'mother', 'mother', 'mother', 'decision', 'mother', 'mother', 'death', 'son']",7580720
"['judge', 'claim', 'belief', 'king', 'hand']",457561
[],32137084
"['husband', 'version']",4072739
"['family', 'family', 'mdash', 'father', 'secret', 'profession', 'profession', 'happiness', 'profession', 'client', 'education', 'mba', 'boss', 'wed']",8034072
"['anger', 'intrusion', 'relationship', 'lover', 'action', 'body', 'body', 'body']",3470969
"['lover', 'husband', 'father', 'father', 'immigration', 'father', 'children', 'children', 'son', 'daughter', 'death', 'memory', 'children']",4016437
"['mother', 'friend', 'consignment', 'mother', 'coat', 'mother', 'aunt', 'mother', 'bed', 'clothe', 'optimism', 'desire', 'aunt', 'mother', 'aunt', 'shift', 'behavior', 'arrival', 'apartment', 'accident', 'house']",17060199
['performances'],7481126
"['life', 'manners', 'honesty', 'father', 'friend', 'love']",9031450
"['body', 'clothe', 'body', 'throat', 'skin', 'belly', 'skin', 'body', 'mouth', 'body', 'skills', 'breast']",1520023
[],14582951
['house'],4803289
"['visit', 'pain', 'pharmacist', 'appointment', 'room', 'brother', 'room']",1788654
['brother'],25388139
"['unfulfillment', 'talent', 'salvation', 'star', 'freedom', 'star']",21735071
"['partner', 'bear', 'assistants']",15912738
"['grandmother', 'friends', 'close', 'frustration', 'girlfriend', 'devices', 'pregnancy', 'grandmother']",24589422
[],4767342
[],28177482
[],3662683
['honor'],35068740
['photograph'],9709159
"['friends', 'family', 'family']",25094002
[],30673459
[],11624345
[],5786261
"['feelings', 'family', 'noire', 'sister']",30706685
[],33837735
[],21132951
[],18906519
[],30490651
[],33745750
[],13542692
[],27380443
[],473286
"['memory', 'mother', 'father', 'heart', 'energy', 'people', 'son']",33942920
"['sweetheart', 'blessings']",11388102
[],19757981
[],3644125
[],21450904
"['brother', 'twin', 'feelings', 'ego', 'plot', 'malvolio', 'uncle', 'drink', 'brother', 'estate', 'nature', 'identity']",11823946
[],6575053
[],21714981
[],11990695
"['plight', 'mantelpiece']",3649186
[],6935978
[],12092931
[],1596505
[],11901512
"['life', 'boss', 'boyfriend']",25807103
"['son', 'son']",20903293
"['mother', 'father', 'brother', 'visit', 'foot', 'glass', 'side', 'suitor', 'transformation', 'date', 'eye', 'crush', 'self', 'life', 'curse', 'curse', 'curse', 'friends', 'friends', 'name', 'life']",27387452
"['past', 'mother', 'mother', 'sons', 'poverty', 'child', 'children', 'arm', 'open']",235406
"['program', 'boyfriend', 'wrist', 'arm', 'bleed', 'skin', 'arrival']",7718873
"['aunt', 'son']",142423
[],29551629
[],5107196
['sons'],30476388
['gig'],30005855
[],6747334
"['job', 'boss', 'friend', 'friend', 'love', 'anger', 'friend', 'rage', 'friend', 'friend', 'friend', 'friend', 'spell', 'pregnancy', 'bouts', 'eye', 'tangents', 'condition', 'doctor', 'pillow', 'nature', 'devotion']",2209027
[],14746604
['money'],8191245
[],20914710
['20s'],27369092
"['character', 'life']",24268011
"['husband', 'husband', 'corpse', 'body', 'relationship', 'talk', 'protection', 'pet', 'cat', 'cat', 'death', 'disappearance', 'students', 'friend', 'whereabouts', 'whereabouts', 'tomb', 'offspring', 'mansion', 'voice']",4154028
