wiki_id,plural,female,male,unknown,neutral
23890098,2.0,0.0,0.0,0.0,0.0
31186339,11.0,72.0,40.0,2.0,0.0
20663735,0.0,9.0,70.0,2.0,0.0
2231378,2.0,10.0,111.0,4.0,0.0
595909,8.0,24.0,12.0,2.0,0.0
5272176,2.0,7.0,57.0,2.0,0.0
1952976,2.0,97.0,26.0,7.0,0.0
24225279,11.0,31.0,32.0,2.0,0.0
2462689,2.0,2.0,53.0,0.0,0.0
20532852,0.0,0.0,17.0,0.0,0.0
15401493,14.0,52.0,17.0,2.0,0.0
18188932,5.0,0.0,6.0,0.0,0.0
2940516,0.0,0.0,11.0,0.0,0.0
1335380,21.0,23.0,43.0,3.0,0.0
1480747,29.0,16.0,219.0,2.0,0.0
24448645,2.0,8.0,0.0,0.0,0.0
15072401,0.0,0.0,12.0,0.0,0.0
4018288,0.0,11.0,14.0,0.0,0.0
4596602,9.0,6.0,33.0,2.0,0.0
15224586,2.0,0.0,12.0,0.0,0.0
15585766,2.0,2.0,13.0,0.0,0.0
1760737,0.0,0.0,26.0,0.0,0.0
29062594,4.0,0.0,0.0,0.0,0.0
29326153,0.0,0.0,2.0,2.0,0.0
9252321,2.0,6.0,26.0,2.0,0.0
8388648,2.0,23.0,53.0,2.0,0.0
10644072,12.0,103.0,141.0,17.0,0.0
13455076,10.0,0.0,0.0,0.0,0.0
33269085,0.0,6.0,6.0,2.0,0.0
2254491,3.0,24.0,11.0,0.0,0.0
447194,8.0,11.0,55.0,0.0,0.0
24165951,0.0,0.0,0.0,0.0,0.0
18549958,2.0,13.0,0.0,2.0,0.0
12978934,6.0,13.0,25.0,2.0,0.0
8471210,7.0,24.0,38.0,0.0,0.0
1925869,15.0,12.0,52.0,0.0,0.0
10799612,20.0,8.0,17.0,0.0,0.0
3150865,0.0,0.0,29.0,2.0,0.0
20591333,0.0,0.0,3.0,0.0,0.0
28238240,0.0,0.0,0.0,2.0,0.0
5414895,17.0,2.0,103.0,13.0,0.0
17124781,14.0,0.0,22.0,6.0,0.0
5425205,7.0,48.0,34.0,5.0,0.0
28207941,2.0,3.0,0.0,0.0,0.0
14330027,0.0,0.0,12.0,0.0,0.0
4356664,0.0,9.0,23.0,0.0,0.0
19174305,6.0,0.0,64.0,0.0,0.0
33417831,3.0,0.0,6.0,0.0,0.0
2408359,8.0,2.0,2.0,2.0,0.0
1838882,4.0,5.0,69.0,0.0,0.0
25755313,0.0,0.0,5.0,0.0,0.0
10016997,2.0,0.0,22.0,0.0,0.0
8153846,0.0,5.0,2.0,0.0,0.0
24486071,0.0,0.0,5.0,0.0,0.0
4466226,2.0,38.0,70.0,4.0,0.0
27975390,0.0,0.0,0.0,0.0,0.0
6167400,2.0,0.0,24.0,0.0,0.0
17711304,15.0,18.0,55.0,0.0,0.0
18392317,0.0,4.0,13.0,0.0,0.0
15161056,36.0,38.0,98.0,2.0,0.0
21500407,7.0,44.0,46.0,4.0,0.0
3459677,18.0,3.0,0.0,0.0,0.0
34420857,2.0,26.0,24.0,0.0,0.0
18369853,3.0,0.0,102.0,5.0,0.0
529276,2.0,39.0,39.0,7.0,0.0
20631892,4.0,15.0,47.0,7.0,0.0
24577134,0.0,5.0,14.0,0.0,0.0
32556450,0.0,0.0,9.0,0.0,0.0
455089,7.0,4.0,69.0,3.0,0.0
23266463,7.0,13.0,0.0,0.0,0.0
35779717,0.0,11.0,49.0,0.0,0.0
23299845,5.0,2.0,0.0,0.0,0.0
226664,2.0,28.0,86.0,0.0,0.0
25113407,2.0,0.0,6.0,0.0,0.0
27403920,5.0,12.0,66.0,2.0,0.0
2524925,28.0,4.0,36.0,15.0,0.0
657446,2.0,23.0,93.0,4.0,0.0
1591973,6.0,78.0,28.0,4.0,0.0
12383757,2.0,0.0,0.0,0.0,0.0
4355919,0.0,0.0,10.0,0.0,0.0
32163620,4.0,3.0,5.0,0.0,0.0
11685571,0.0,0.0,36.0,0.0,0.0
4039635,2.0,0.0,14.0,0.0,0.0
17371197,0.0,0.0,16.0,3.0,0.0
1282593,9.0,97.0,7.0,2.0,0.0
7504323,0.0,4.0,4.0,0.0,0.0
7675415,3.0,18.0,22.0,0.0,0.0
3109393,3.0,0.0,0.0,0.0,0.0
7580720,0.0,79.0,68.0,12.0,0.0
457561,2.0,18.0,0.0,2.0,0.0
32137084,0.0,0.0,49.0,0.0,0.0
4072739,0.0,4.0,2.0,0.0,0.0
8034072,10.0,42.0,15.0,5.0,0.0
3470969,12.0,33.0,98.0,4.0,0.0
4016437,0.0,46.0,23.0,4.0,0.0
17060199,0.0,66.0,39.0,3.0,0.0
7481126,9.0,3.0,20.0,2.0,0.0
9031450,0.0,20.0,5.0,4.0,0.0
1520023,47.0,49.0,364.0,27.0,0.0
14582951,10.0,0.0,10.0,0.0,0.0
4803289,2.0,20.0,101.0,4.0,0.0
1788654,2.0,34.0,74.0,9.0,0.0
25388139,2.0,9.0,22.0,0.0,0.0
21735071,0.0,16.0,0.0,0.0,0.0
15912738,4.0,23.0,27.0,0.0,0.0
24589422,4.0,45.0,85.0,2.0,0.0
4767342,0.0,0.0,6.0,0.0,0.0
28177482,5.0,5.0,28.0,0.0,0.0
3662683,4.0,7.0,55.0,0.0,0.0
35068740,2.0,12.0,36.0,0.0,0.0
9709159,11.0,5.0,36.0,0.0,0.0
25094002,0.0,4.0,3.0,2.0,0.0
30673459,0.0,3.0,38.0,0.0,0.0
11624345,0.0,0.0,26.0,0.0,0.0
5786261,7.0,0.0,41.0,0.0,0.0
30706685,2.0,6.0,3.0,0.0,0.0
33837735,0.0,0.0,2.0,0.0,0.0
21132951,0.0,0.0,51.0,2.0,0.0
18906519,0.0,0.0,5.0,0.0,0.0
30490651,22.0,0.0,12.0,2.0,0.0
33745750,0.0,0.0,23.0,5.0,0.0
13542692,0.0,0.0,3.0,0.0,0.0
27380443,3.0,0.0,8.0,0.0,0.0
473286,0.0,2.0,7.0,0.0,0.0
33942920,61.0,49.0,93.0,5.0,0.0
11388102,5.0,12.0,5.0,0.0,0.0
19757981,3.0,0.0,2.0,2.0,0.0
3644125,2.0,0.0,71.0,3.0,0.0
21450904,0.0,0.0,0.0,2.0,0.0
11823946,8.0,37.0,49.0,0.0,0.0
6575053,31.0,6.0,39.0,8.0,0.0
21714981,2.0,0.0,5.0,0.0,0.0
11990695,21.0,8.0,68.0,12.0,0.0
3649186,3.0,21.0,69.0,2.0,0.0
6935978,18.0,0.0,11.0,0.0,0.0
12092931,0.0,0.0,6.0,0.0,0.0
1596505,0.0,0.0,3.0,0.0,0.0
11901512,0.0,0.0,2.0,0.0,0.0
25807103,0.0,9.0,0.0,0.0,0.0
20903293,5.0,16.0,99.0,6.0,0.0
27387452,8.0,92.0,26.0,6.0,0.0
235406,5.0,20.0,34.0,8.0,0.0
7718873,2.0,53.0,46.0,0.0,0.0
142423,0.0,9.0,54.0,0.0,0.0
29551629,2.0,0.0,0.0,0.0,0.0
5107196,3.0,0.0,0.0,0.0,0.0
30476388,9.0,4.0,4.0,2.0,0.0
30005855,0.0,2.0,0.0,0.0,0.0
6747334,0.0,0.0,8.0,0.0,0.0
2209027,12.0,75.0,78.0,10.0,0.0
14746604,6.0,0.0,8.0,0.0,0.0
8191245,0.0,2.0,7.0,0.0,0.0
20914710,2.0,3.0,11.0,0.0,0.0
27369092,0.0,6.0,13.0,0.0,0.0
24268011,0.0,9.0,66.0,10.0,0.0
4154028,20.0,71.0,147.0,2.0,0.0
770277,9.0,79.0,68.0,5.0,0.0
18133264,0.0,0.0,11.0,0.0,0.0
25588342,0.0,0.0,13.0,0.0,0.0
22479768,11.0,0.0,7.0,0.0,0.0
6002183,5.0,34.0,19.0,0.0,0.0
6540216,0.0,0.0,3.0,0.0,0.0
31509403,0.0,7.0,0.0,0.0,0.0
225473,2.0,8.0,20.0,0.0,0.0
32995532,0.0,3.0,11.0,2.0,0.0
36566804,0.0,2.0,4.0,0.0,0.0
24073089,20.0,24.0,69.0,5.0,0.0
30405742,4.0,0.0,2.0,0.0,0.0
23991052,7.0,16.0,42.0,2.0,0.0
6084851,0.0,2.0,3.0,0.0,0.0
2322506,55.0,37.0,51.0,6.0,0.0
13495023,0.0,0.0,2.0,0.0,0.0
1813912,21.0,9.0,29.0,0.0,0.0
23605990,0.0,0.0,2.0,0.0,0.0
32558509,21.0,96.0,54.0,7.0,0.0
35030619,42.0,31.0,63.0,2.0,0.0
9138693,0.0,0.0,0.0,0.0,0.0
19332675,2.0,24.0,80.0,2.0,0.0
19755481,15.0,91.0,81.0,9.0,0.0
27368886,11.0,7.0,32.0,0.0,0.0
5925279,0.0,50.0,26.0,0.0,0.0
26499399,22.0,13.0,148.0,3.0,0.0
35764248,6.0,0.0,0.0,0.0,0.0
26393786,6.0,2.0,14.0,0.0,0.0
27997130,2.0,0.0,0.0,0.0,0.0
7429667,95.0,75.0,132.0,2.0,0.0
30866673,21.0,8.0,97.0,6.0,0.0
34501845,2.0,0.0,12.0,0.0,0.0
30622939,21.0,42.0,40.0,0.0,0.0
1373219,9.0,24.0,34.0,3.0,0.0
2311219,34.0,2.0,103.0,6.0,0.0
26834911,0.0,0.0,10.0,0.0,0.0
20120996,25.0,69.0,56.0,11.0,0.0
20533021,0.0,0.0,6.0,0.0,0.0
31083557,47.0,144.0,111.0,8.0,0.0
13448042,2.0,13.0,3.0,0.0,0.0
18563253,0.0,0.0,6.0,0.0,0.0
25858471,2.0,0.0,33.0,8.0,0.0
9916623,0.0,2.0,0.0,0.0,0.0
20753929,2.0,8.0,12.0,2.0,0.0
6777222,55.0,4.0,79.0,8.0,0.0
26464187,2.0,0.0,8.0,0.0,0.0
26182742,3.0,0.0,14.0,4.0,0.0
5733324,2.0,12.0,45.0,6.0,0.0
8262659,17.0,0.0,32.0,0.0,0.0
26003987,4.0,0.0,15.0,0.0,0.0
6285350,0.0,0.0,7.0,0.0,0.0
4995581,2.0,53.0,14.0,4.0,0.0
20805584,3.0,0.0,24.0,0.0,0.0
2257358,2.0,57.0,84.0,2.0,0.0
11074454,0.0,0.0,3.0,0.0,0.0
12113134,0.0,0.0,21.0,0.0,0.0
5239234,4.0,20.0,75.0,5.0,0.0
18066729,0.0,0.0,8.0,0.0,0.0
6593182,18.0,12.0,46.0,2.0,0.0
3257958,2.0,16.0,90.0,4.0,0.0
4716139,3.0,2.0,15.0,0.0,0.0
22480532,7.0,4.0,12.0,2.0,0.0
9294,7.0,43.0,48.0,4.0,0.0
32803232,0.0,0.0,4.0,0.0,0.0
3389457,0.0,0.0,2.0,0.0,0.0
8511975,5.0,0.0,0.0,0.0,0.0
24840023,19.0,0.0,13.0,2.0,0.0
1330432,8.0,33.0,26.0,0.0,0.0
518117,0.0,24.0,56.0,6.0,0.0
19389615,16.0,8.0,4.0,2.0,0.0
14359457,4.0,0.0,11.0,0.0,0.0
6270685,3.0,9.0,12.0,2.0,0.0
11250635,13.0,18.0,51.0,4.0,0.0
6752415,9.0,13.0,17.0,0.0,0.0
6369452,10.0,15.0,4.0,0.0,0.0
2862137,0.0,5.0,12.0,2.0,0.0
5283066,0.0,8.0,110.0,0.0,0.0
13259610,2.0,0.0,3.0,0.0,0.0
4199982,0.0,11.0,2.0,0.0,0.0
14570672,4.0,25.0,20.0,0.0,0.0
25098041,8.0,46.0,41.0,6.0,0.0
1424603,0.0,0.0,5.0,0.0,0.0
19703899,15.0,16.0,0.0,9.0,0.0
12786966,8.0,30.0,97.0,0.0,0.0
3523090,0.0,0.0,8.0,0.0,0.0
20887118,61.0,44.0,181.0,15.0,0.0
3723154,8.0,0.0,3.0,2.0,0.0
2274938,6.0,23.0,50.0,3.0,0.0
14983036,0.0,23.0,17.0,2.0,0.0
3147170,3.0,0.0,2.0,0.0,0.0
7529479,0.0,0.0,8.0,5.0,0.0
29049575,2.0,0.0,0.0,0.0,0.0
8665259,0.0,0.0,15.0,0.0,0.0
31844153,0.0,0.0,22.0,0.0,0.0
9734319,3.0,24.0,22.0,2.0,0.0
10016740,5.0,69.0,9.0,0.0,0.0
28983795,0.0,0.0,0.0,0.0,0.0
22829,3.0,6.0,4.0,0.0,0.0
9141521,8.0,0.0,26.0,2.0,0.0
12333653,2.0,6.0,17.0,0.0,0.0
34506820,4.0,0.0,7.0,0.0,0.0
11627124,0.0,3.0,19.0,2.0,0.0
1307956,0.0,15.0,21.0,0.0,0.0
34410222,0.0,0.0,0.0,0.0,0.0
6009073,4.0,3.0,11.0,0.0,0.0
3177319,39.0,7.0,104.0,7.0,0.0
22457596,14.0,81.0,128.0,6.0,0.0
27972540,6.0,0.0,12.0,2.0,0.0
2906378,0.0,15.0,18.0,2.0,0.0
1871096,7.0,3.0,62.0,4.0,0.0
16898363,24.0,8.0,25.0,0.0,0.0
35295429,3.0,11.0,5.0,2.0,0.0
33743642,2.0,0.0,26.0,0.0,0.0
17938594,0.0,4.0,5.0,0.0,0.0
797330,27.0,16.0,33.0,0.0,0.0
26816029,0.0,2.0,5.0,0.0,0.0
34171890,7.0,0.0,28.0,0.0,0.0
8094606,0.0,0.0,4.0,0.0,0.0
3098782,0.0,0.0,9.0,0.0,0.0
8418734,2.0,2.0,19.0,0.0,0.0
7171361,0.0,4.0,21.0,0.0,0.0
8956466,0.0,0.0,7.0,0.0,0.0
7977406,2.0,0.0,38.0,0.0,0.0
16179846,2.0,9.0,24.0,3.0,0.0
19203309,2.0,0.0,5.0,0.0,0.0
17063416,0.0,2.0,5.0,0.0,0.0
15052685,18.0,0.0,29.0,0.0,0.0
17991914,0.0,14.0,0.0,2.0,0.0
32136365,0.0,4.0,5.0,0.0,0.0
21716330,0.0,0.0,25.0,0.0,0.0
3192223,0.0,25.0,121.0,2.0,0.0
6838347,2.0,2.0,3.0,0.0,0.0
33431914,9.0,0.0,11.0,0.0,0.0
61494,33.0,105.0,73.0,10.0,0.0
3875037,0.0,0.0,5.0,0.0,0.0
203413,5.0,71.0,43.0,2.0,0.0
5981203,0.0,26.0,12.0,2.0,0.0
30097713,0.0,9.0,8.0,2.0,0.0
28822507,3.0,0.0,0.0,0.0,0.0
8204853,39.0,48.0,160.0,19.0,0.0
4179195,8.0,0.0,39.0,0.0,0.0
204774,70.0,27.0,112.0,19.0,0.0
17049621,31.0,13.0,41.0,3.0,0.0
8423977,2.0,11.0,49.0,11.0,0.0
6014959,0.0,7.0,24.0,2.0,0.0
35002799,0.0,0.0,0.0,0.0,0.0
26283768,9.0,0.0,0.0,0.0,0.0
4268056,0.0,0.0,29.0,6.0,0.0
15842654,0.0,5.0,12.0,0.0,0.0
5719024,2.0,0.0,14.0,0.0,0.0
25480074,9.0,49.0,36.0,0.0,0.0
9916970,4.0,13.0,25.0,0.0,0.0
265033,38.0,0.0,35.0,4.0,0.0
11102452,0.0,0.0,49.0,0.0,0.0
14711494,3.0,5.0,54.0,2.0,0.0
2155517,5.0,0.0,6.0,0.0,0.0
34638152,20.0,35.0,47.0,4.0,0.0
8764467,2.0,2.0,10.0,0.0,0.0
28756896,4.0,2.0,5.0,0.0,0.0
17643352,4.0,26.0,6.0,0.0,0.0
6004920,0.0,10.0,25.0,0.0,0.0
305909,6.0,18.0,82.0,4.0,0.0
11236428,0.0,10.0,12.0,0.0,0.0
1324717,0.0,29.0,17.0,2.0,0.0
106352,0.0,3.0,0.0,0.0,0.0
26004682,8.0,0.0,0.0,0.0,0.0
19389514,3.0,0.0,5.0,0.0,0.0
24228496,13.0,4.0,115.0,0.0,0.0
21447744,3.0,2.0,44.0,2.0,0.0
24277283,0.0,2.0,14.0,0.0,0.0
11293276,16.0,2.0,27.0,3.0,0.0
16673820,0.0,0.0,6.0,0.0,0.0
25335991,48.0,6.0,26.0,2.0,0.0
5159732,5.0,0.0,25.0,0.0,0.0
917524,6.0,36.0,29.0,5.0,0.0
16150645,29.0,0.0,50.0,5.0,0.0
33567266,13.0,47.0,43.0,2.0,0.0
3182458,10.0,4.0,37.0,4.0,0.0
14901197,12.0,0.0,29.0,11.0,0.0
474750,0.0,64.0,18.0,6.0,0.0
32777283,3.0,2.0,3.0,0.0,0.0
6002416,4.0,2.0,2.0,0.0,0.0
3322205,0.0,35.0,36.0,0.0,0.0
3006994,2.0,0.0,16.0,0.0,0.0
9537791,2.0,0.0,6.0,2.0,0.0
23910715,23.0,22.0,41.0,2.0,0.0
45772,4.0,3.0,59.0,2.0,0.0
7537280,8.0,8.0,12.0,0.0,0.0
600008,0.0,46.0,7.0,6.0,0.0
15428140,0.0,0.0,10.0,0.0,0.0
