wiki_id,plural,female,male,unknown,neutral
23890098,1.0,0.0,0.0,0.0,0.0
31186339,3.0,6.0,5.0,1.0,0.0
20663735,0.0,2.0,9.0,1.0,0.0
2231378,1.0,3.0,9.0,2.0,0.0
595909,3.0,2.0,1.0,1.0,0.0
5272176,1.0,2.0,7.0,1.0,0.0
1952976,1.0,6.0,3.0,2.0,0.0
24225279,4.0,2.0,3.0,1.0,0.0
2462689,1.0,1.0,5.0,0.0,0.0
20532852,0.0,0.0,2.0,0.0,0.0
15401493,4.0,4.0,4.0,1.0,0.0
18188932,2.0,0.0,3.0,0.0,0.0
2940516,0.0,0.0,3.0,0.0,0.0
1335380,4.0,2.0,7.0,1.0,0.0
1480747,7.0,3.0,14.0,1.0,0.0
24448645,1.0,1.0,0.0,0.0,0.0
15072401,0.0,0.0,4.0,0.0,0.0
4018288,0.0,1.0,1.0,0.0,0.0
4596602,2.0,1.0,4.0,1.0,0.0
15224586,1.0,0.0,3.0,0.0,0.0
15585766,1.0,1.0,3.0,0.0,0.0
1760737,0.0,0.0,3.0,0.0,0.0
29062594,1.0,0.0,0.0,0.0,0.0
29326153,0.0,0.0,1.0,1.0,0.0
9252321,1.0,1.0,3.0,1.0,0.0
8388648,1.0,1.0,3.0,1.0,0.0
10644072,6.0,9.0,4.0,8.0,0.0
13455076,4.0,0.0,0.0,0.0,0.0
33269085,0.0,2.0,1.0,1.0,0.0
2254491,1.0,2.0,1.0,0.0,0.0
447194,3.0,1.0,5.0,0.0,0.0
24165951,0.0,0.0,0.0,0.0,0.0
18549958,1.0,2.0,0.0,1.0,0.0
12978934,2.0,2.0,3.0,1.0,0.0
8471210,1.0,7.0,7.0,0.0,0.0
1925869,2.0,1.0,7.0,0.0,0.0
10799612,5.0,3.0,4.0,0.0,0.0
3150865,0.0,0.0,3.0,1.0,0.0
20591333,0.0,0.0,1.0,0.0,0.0
28238240,0.0,0.0,0.0,1.0,0.0
5414895,5.0,1.0,19.0,3.0,0.0
17124781,5.0,0.0,2.0,3.0,0.0
5425205,3.0,5.0,3.0,2.0,0.0
28207941,1.0,1.0,0.0,0.0,0.0
14330027,0.0,0.0,2.0,0.0,0.0
4356664,0.0,3.0,4.0,0.0,0.0
19174305,2.0,0.0,8.0,0.0,0.0
33417831,1.0,0.0,3.0,0.0,0.0
2408359,3.0,1.0,1.0,1.0,0.0
1838882,2.0,1.0,4.0,0.0,0.0
25755313,0.0,0.0,1.0,0.0,0.0
10016997,1.0,0.0,5.0,0.0,0.0
8153846,0.0,1.0,1.0,0.0,0.0
24486071,0.0,0.0,2.0,0.0,0.0
4466226,1.0,3.0,4.0,2.0,0.0
27975390,0.0,0.0,0.0,0.0,0.0
6167400,1.0,0.0,3.0,0.0,0.0
17711304,5.0,3.0,7.0,0.0,0.0
18392317,0.0,1.0,4.0,0.0,0.0
15161056,6.0,4.0,8.0,1.0,0.0
21500407,2.0,3.0,3.0,2.0,0.0
3459677,5.0,1.0,0.0,0.0,0.0
34420857,1.0,5.0,2.0,0.0,0.0
18369853,1.0,0.0,4.0,2.0,0.0
529276,1.0,5.0,4.0,3.0,0.0
20631892,1.0,3.0,6.0,3.0,0.0
24577134,0.0,2.0,3.0,0.0,0.0
32556450,0.0,0.0,1.0,0.0,0.0
455089,2.0,2.0,7.0,1.0,0.0
23266463,2.0,1.0,0.0,0.0,0.0
35779717,0.0,2.0,5.0,0.0,0.0
23299845,2.0,1.0,0.0,0.0,0.0
226664,1.0,6.0,3.0,0.0,0.0
25113407,1.0,0.0,1.0,0.0,0.0
27403920,2.0,2.0,7.0,1.0,0.0
2524925,8.0,1.0,3.0,5.0,0.0
657446,1.0,4.0,4.0,2.0,0.0
1591973,2.0,4.0,5.0,2.0,0.0
12383757,1.0,0.0,0.0,0.0,0.0
4355919,0.0,0.0,1.0,0.0,0.0
32163620,2.0,1.0,1.0,0.0,0.0
11685571,0.0,0.0,5.0,0.0,0.0
4039635,1.0,0.0,2.0,0.0,0.0
17371197,0.0,0.0,2.0,1.0,0.0
1282593,3.0,7.0,2.0,1.0,0.0
7504323,0.0,1.0,1.0,0.0,0.0
7675415,1.0,3.0,2.0,0.0,0.0
3109393,1.0,0.0,0.0,0.0,0.0
7580720,0.0,5.0,4.0,5.0,0.0
457561,1.0,1.0,0.0,1.0,0.0
32137084,0.0,0.0,4.0,0.0,0.0
4072739,0.0,1.0,1.0,0.0,0.0
8034072,4.0,2.0,2.0,2.0,0.0
3470969,4.0,3.0,7.0,2.0,0.0
4016437,0.0,3.0,2.0,2.0,0.0
17060199,0.0,2.0,2.0,1.0,0.0
7481126,4.0,1.0,5.0,1.0,0.0
9031450,0.0,2.0,2.0,1.0,0.0
1520023,13.0,6.0,27.0,12.0,0.0
14582951,2.0,0.0,2.0,0.0,0.0
4803289,1.0,2.0,8.0,2.0,0.0
1788654,1.0,2.0,3.0,4.0,0.0
25388139,1.0,2.0,3.0,0.0,0.0
21735071,0.0,3.0,0.0,0.0,0.0
15912738,1.0,3.0,4.0,0.0,0.0
24589422,1.0,2.0,5.0,1.0,0.0
4767342,0.0,0.0,1.0,0.0,0.0
28177482,1.0,1.0,3.0,0.0,0.0
3662683,2.0,1.0,6.0,0.0,0.0
35068740,1.0,1.0,3.0,0.0,0.0
9709159,3.0,2.0,2.0,0.0,0.0
25094002,0.0,1.0,1.0,1.0,0.0
30673459,0.0,1.0,2.0,0.0,0.0
11624345,0.0,0.0,3.0,0.0,0.0
5786261,3.0,0.0,1.0,0.0,0.0
30706685,1.0,2.0,1.0,0.0,0.0
33837735,0.0,0.0,1.0,0.0,0.0
21132951,0.0,0.0,6.0,1.0,0.0
18906519,0.0,0.0,2.0,0.0,0.0
30490651,4.0,0.0,2.0,1.0,0.0
33745750,0.0,0.0,3.0,1.0,0.0
13542692,0.0,0.0,1.0,0.0,0.0
27380443,1.0,0.0,4.0,0.0,0.0
473286,0.0,1.0,1.0,0.0,0.0
33942920,12.0,6.0,10.0,2.0,0.0
11388102,1.0,3.0,2.0,0.0,0.0
19757981,1.0,0.0,1.0,1.0,0.0
3644125,1.0,0.0,6.0,1.0,0.0
21450904,0.0,0.0,0.0,1.0,0.0
11823946,3.0,7.0,9.0,0.0,0.0
6575053,4.0,1.0,6.0,3.0,0.0
21714981,1.0,0.0,2.0,0.0,0.0
11990695,7.0,2.0,6.0,2.0,0.0
3649186,1.0,1.0,6.0,1.0,0.0
6935978,4.0,0.0,3.0,0.0,0.0
12092931,0.0,0.0,2.0,0.0,0.0
1596505,0.0,0.0,1.0,0.0,0.0
11901512,0.0,0.0,1.0,0.0,0.0
25807103,0.0,1.0,0.0,0.0,0.0
20903293,2.0,4.0,6.0,2.0,0.0
27387452,3.0,6.0,5.0,2.0,0.0
235406,2.0,1.0,4.0,4.0,0.0
7718873,1.0,3.0,3.0,0.0,0.0
142423,0.0,1.0,2.0,0.0,0.0
29551629,1.0,0.0,0.0,0.0,0.0
5107196,1.0,0.0,0.0,0.0,0.0
30476388,2.0,2.0,2.0,1.0,0.0
30005855,0.0,1.0,0.0,0.0,0.0
6747334,0.0,0.0,2.0,0.0,0.0
2209027,4.0,1.0,3.0,4.0,0.0
