events,wiki_id
[],23890098
"['love', 'displeasure']",31186339
"['life', 'henchmen', 'uncle', 'friend', 'father', 'daughter', 'father', 'funeral', 'sister', 'father', 'way', 'partner', 'father', 'crony', 'henchmen', 'action', 'son', 'classmate', 'classmate', 'wife']",20663735
"['choice', 'girlfriend', 'activity', 'scheme', 'goodwill', 'compatriots', 'scheme', 'accomplices', 'action', 'advantage', 'friends', 'establishment', 'crew', 'mansion', 'compound', 'home', 'crew', 'office', 'friends', 'operation', 'attention', 'kettle', 'wife']",2231378
"['wife', 'sons', 'parishioners', 'faith', 'belief', 'religion', 'belief', 'wife', 'testimony']",595909
"['boss', 'house', 'house', 'way', 'bodyguard', 'entrance', 'house', 'boat', 'home', 'boss']",5272176
"['apartment', 'apartment', 'daughter', 'apartment']",1952976
"['feet', 'hand', 'brother', 'brother', 'duties', 'demeanor', 'hand', 'grip']",24225279
"['arm', 'friend', 'attempt', 'mind', 'failure', 'threat', 'name', 'speeches', 'speech', 'ambition']",2462689
"['body', 'price']",20532852
"['fund', 'home', 'girlfriend', 'plot']",15401493
[],18188932
"['captain', 'memory', 'colleague']",2940516
"['desire', 'activities', 'knowledge', 'head', 'imprisonment', 'village', 'body', 'way', 'friend', 'wind', 'efforts']",1335380
"['cheque', 'lecturer', 'class', 'dorm', 'boss', 'duties', 'deadline', 'departure', 'paper', 'expense', 'stuff', 'girlfriend', 'car', 'pop', 'session', 'mate', 'study', 'bounce', 'money', 'money', 'id', 'fee', 'session', 'money', 'friend', 'debts', 'assistant', 'kid']",1480747
[],24448645
"['inheritance', 'research']",15072401
"['fan', 'identity', 'whereabouts']",4018288
"['income', 'character', 'nunchaku', 'screenplay', 'friend', 'agency', 'encounter', 'clients', 'screenplay', 'life', 'brother', 'advisor', 'work']",4596602
"['sister', 'friend', 'shell']",15224586
[],15585766
"['dream', 'pedal', 'legs', 'act']",1760737
[],29062594
[],29326153
"['village', 'family', 'wife', 'children', 'move', 'ignorance', 'out', 'wife', 'wife', 'demand', 'helplessness', 'frustration', 'soil', 'struggle']",9252321
"['sacrifice', 'love', 'love', 'love', 'friend', 'father', 'father', 'leg', 'career', 'accident', 'house', 'father']",8388648
"['soul', 'master', 'life', 'son', 'source', 'inspiration', 'son', 'past', 'wing', 'son', 'home', 'plan', 'gangmembers', 'territory', 'reformation', 'invitation', 'danger', 'geeta', 'son', 'chest', 'blood', 'way', 'turn', 'legacy', 'wife', 'swaroop', 'efforts', 'father', 'rage', 'legs', 'shoe', 'father', 'life', 'murder', 'word', 'money', 'education', 'similarity', 'arrival', 'wife', 'feelings', 'mother']",10644072
[],13455076
"['latrines', 'clothe']",33269085
"['brother', 'sister']",2254491
"['mother', 'guests', 'debt', 'deeds', 'fury', 'people', 'chain', 'rope', 'strength', 'hair', 'strength', 'captors', 'blind', 'torture', 'friends', 'pass', 'plan', 'chariot']",447194
[],24165951
[],18549958
"['father', 'abduction', 'family', 'brother']",12978934
"['mother', 'aunt', 'house', 'puzzle', 'testicles', 'mother']",8471210
"['son', 'absence', 'rifle', 'horse', 'past', 'son', 'bravery', 'way', 'farm', 'raft', 'father', 'father']",1925869
"['family', 'wife', 'son', 'son', 'attempt', 'marriage', 'relationship']",10799612
"['plane', 'office', 'client', 'client', 'client', 'way']",3150865
"['encounter', 'life']",20591333
[],28238240
"['lord', 'quan', 'persuasion', 'hunt', 'yu', 'shangxiang', 'strategy', 'make', 'plan', 'part', 'life', 'battleships', 'plan', 'wife', 'followers', 'yu', 'fei', 'family', 'son', 'embark', 'force', 'force', 'decision', 'force', 'force', 'camp', 'force', 'force', 'cavalry', 'navy', 'plan', 'infiltration', 'feelings', 'mission', 'report', 'folly', 'camp', 'army', 'army', 'troop', 'enemies', 'army', 'fort', 'life']",5414895
"['derailment', 'gang', 'gang', 'finger', 'pursuers']",17124781
"['star', 'protection', 'duties', 'father', 'place', 'position', 'ethnicity']",5425205
[],28207941
"['anthoula', 'marriage', 'wife']",14330027
"['friend', 'girlfriend', 'wife', 'wife']",4356664
"['grandfather', 'donkey', 'father', 'way', 'efforts', 'journey', 'eagerness', 'mind', 'father', 'assistant', 'nephew', 'nephew', 'sunglasses', 'manager', 'request']",19174305
"['wife', 'marriage', 'career']",33417831
[],2408359
"['clan', 'fortune', 'clan', 'servants', 'children', 'men', 'daughter', 'wife', 'daughter', 'minions', 'relationship', 'loss', 'relationship', 'parent', 'father', 'arm', 'prophecy']",1838882
"['family', 'adversary']",25755313
"['horse', 'son']",10016997
[],8153846
['parent'],24486071
"['son', 'wife', 'wife', 'act', 'music', 'father', 'wife', 'son', 'brother', 'music', 'cello', 'piece', 'nymphomaniac', 'lover', 'dad', 'act', 'showtunes', 'performance', 'act', 'car', 'beloved', 'mistake', 'ballad', 'ballad', 'mdash']",4466226
[],27975390
"['wing', 'feelings', 'past', 'brother', 'point', 'boyfriend', 'kiss', 'sign', 'dissolve', 'film', 'film']",6167400
"['superiors', 'code', 'mistress', 'office', 'train', 'loyalty', 'mother', 'death', 'funeral', 'secret']",17711304
"['image', 'orchestra']",18392317
"['house', 'homeboys', 'souls', 'control', 'vanish', 'out', 'accomplices', 'mouth', 'brother', 'name']",15161056
"['life', 'hardness', 'therapist', 'life', 'friend', 'aunt', 'imagination', 'wife']",21500407
[],3459677
"['student', 'path', 'burn', 'murder', 'mother']",34420857
"['head', 'mark', 'opponent', 'outcrop', 'humiliation', 'nemesis', 'utensils', 'foot', 'tail', 'attempt', 'view', 'foot', 'genius', 'attempt', 'tail', 'mistake', 'head', 'tail', 'tail', 'fate', 'fur', 'foot', 'opponent', 'knife', 'opponent', 'rival']",18369853
"['boat', 'arm', 'boat', 'wife', 'fiancee', 'wife']",529276
"['henchmen', 'contact', 'gang', 'gangsters', 'ransom', 'man', 'location', 'rival', 'bodyguard', 'interest', 'wife']",20631892
"['sense', 'cabin', 'treatment', 'love']",24577134
"['life', 'career', 'marriage', 'friend']",32556450
"['captain', 'way', 'girlfriend', 'jeep', 'debt', 'helicopter', 'bless', 'daughter']",455089
[],23266463
"['exams', 'blood', 'protection', 'father', 'wish', 'family', 'wish', 'situation', 'throat', 'wife', 'son', 'protection', 'head']",35779717
[],23299845
"['position', 'life', 'child', 'life', 'successor', 'help', 'office', 'career', 'alienation', 'wife', 'retirement', 'purchase', 'daughter', 'fiancé', 'wife', 'daughter', 'wife', 'life', 'winnebago', 'daughter', 'past', 'campus', 'home', 'advance', 'failings', 'wife', 'back', 'winnebago', 'disapproval', 'life', 'letter', 'support', 'mother', 'family', 'waterbed']",226664
"['family', 'mother', 'wife', 'boys']",25113407
"['fiancée', 'dream', 'faith', 'friend', 'wife', 'customers', 'assistant', 'boss', 'job', 'boss', 'faith', 'replacement', 'influence', 'plan']",27403920
"['cohorts', 'cohorts', 'experience', 'father', 'harshness', 'sidekicks', 'cronies', 'mdash', 'father', 'friends', 'friends', 'grandfather', 'grandfather', 'father']",2524925
"['son', 'hand', 'job', 'audrey', 'lie', 'son', 'boss', 'career', 'client', 'witness', 'client', 'case', 'understand', 'bail', 'greta', 'tellings', 'son', 'priority', 'way', 'son', 'father', 'plane', 'birthday', 'candle', 'mom', 'dad', 'dad', 'party']",657446
"['wife', 'murder', 'hand', 'head', 'widow', 'daughter', 'crew', 'bulldozer']",1591973
[],12383757
"['girlfriend', 'travel', 'life']",4355919
"['comrades', 'life', 'live']",32163620
"['way', 'wife', 'predecessor', 'rule', 'uniform', 'girlfriend', 'pursuers', 'talent', 'performance', 'career', 'character', 'shirt', 'power', 'play', 'play', 'language', 'play', 'partner']",11685571
"['return', 'wife', 'whereabouts']",4039635
"['briefcase', 'life', 'possessions', 'attackers']",17371197
['house'],1282593
[],7504323
"['plane', 'girlfriend', 'relationship', 'knife', 'knife']",7675415
[],3109393
"['seat', 'home', 'parent', 'parent', 'mother', 'parent', 'wife', 'parent', 'family', 'father', 'interest', 'family', 'safety', 'wife', 'parent', 'parent', 'passion']",7580720
[],457561
"['parent', 'life', 'guardian', 'family', 'life', 'sapna', 'life', 'life', 'post', 'job', 'dream', 'freedom']",32137084
[],4072739
"['proposal', 'brother']",8034072
"['trainee', 'interest', 'son', 'mistake', 'request', 'coat', 'mobile', 'way', 'neighbor', 'visit', 'initiation', 'deal', 'wife', 'attack', 'birthday', 'violations', 'mother', 'relationship', 'father', 'alisia', 'party', 'father', 'father', 'blood', 'death', 'gratitude', 'property', 'one', 'successes', 'father']",3470969
"['swing', 'brother', 'father', 'novel', 'sister']",4016437
"['desire', 'behavior', 'discipline', 'attendant', 'insinuations', 'insult', 'apartment', 'behavior', 'wife', 'daughter']",17060199
"['dream', 'parent', 'classmates', 'rival', 'friend', 'sidekick', 'dream', 'sidekick']",7481126
[],9031450
